jtleek/datasharing,master,4411,186730,2013-11-07T13:25:07Z,2018-06-25T05:43:41Z
rdpeng/ProgrammingAssignment2,master,536,111496,2014-01-14T22:07:41Z,2018-06-15T11:30:06Z
octocat/Spoon-Knife,master,10049,98853,2011-01-27T19:30:43Z,2018-06-25T06:31:50Z
tensorflow/tensorflow,master,103490,64621,2015-11-07T01:19:20Z,2018-06-25T23:21:06Z
twbs/bootstrap,v4-dev,125578,60477,2011-07-29T21:19:00Z,2018-06-25T23:36:14Z
rdpeng/ExData_Plotting1,master,156,47801,2014-02-09T03:37:01Z,2018-06-15T17:34:21Z
SmartThingsCommunity/SmartThingsPublic,master,920,41195,2015-08-04T22:48:02Z,2018-06-25T21:19:53Z
github/gitignore,master,68877,31645,2010-11-08T20:17:14Z,2018-06-25T23:31:51Z
rdpeng/RepData_PeerAssessment1,master,70,30365,2014-02-10T21:20:28Z,2018-06-06T15:07:42Z
angular/angular.js,master,58701,28945,2010-01-06T00:34:37Z,2018-06-25T22:58:51Z
EbookFoundation/free-programming-books,master,107346,27288,2013-10-11T06:50:37Z,2018-06-25T18:48:15Z
DataScienceSpecialization/courses,master,2961,26392,2014-01-21T10:22:57Z,2018-06-25T07:05:24Z
udacity/frontend-nanodegree-resume,master,951,25594,2014-09-23T10:08:07Z,2018-06-19T14:06:43Z
torvalds/linux,master,60124,22032,2011-09-04T22:48:12Z,2018-06-25T23:34:00Z
tensorflow/models,master,37337,21757,2016-02-05T01:15:20Z,2018-06-25T23:17:08Z
LarryMad/recipes,master,53,21297,2014-09-30T23:22:08Z,2018-05-16T07:33:02Z
barryclark/jekyll-now,master,5012,20641,2014-02-07T00:14:55Z,2018-06-25T13:59:37Z
jlord/patchwork,gh-pages,747,20205,2014-01-10T00:00:11Z,2018-06-25T23:20:40Z
bitcoin/bitcoin,master,32742,19705,2010-12-19T15:16:43Z,2018-06-25T23:22:02Z
d3/d3,master,76773,19441,2010-09-27T17:22:42Z,2018-06-25T23:18:50Z
spring-projects/spring-boot,master,25994,19151,2012-10-19T15:02:57Z,2018-06-25T22:39:20Z
facebook/react,master,104521,18702,2013-05-24T16:15:54Z,2018-06-25T23:28:58Z
jwasham/coding-interview-university,master,65556,18429,2016-06-06T02:34:12Z,2018-06-25T22:59:50Z
opencv/opencv,master,25680,18423,2012-07-19T09:40:17Z,2018-06-25T22:52:08Z
nightscout/cgm-remote-monitor,master,485,17219,2014-05-22T00:32:28Z,2018-06-22T01:00:03Z
apache/spark,master,17831,16222,2014-02-25T08:00:08Z,2018-06-25T22:40:08Z
rails/rails,master,40014,16154,2008-04-11T02:19:47Z,2018-06-25T23:16:20Z
shadowsocks/shadowsocks,rm,25533,16099,2012-04-20T13:10:49Z,2018-06-25T18:56:08Z
mrdoob/three.js,dev,42753,16094,2010-03-23T18:58:01Z,2018-06-25T22:46:42Z
jquery/jquery,master,49275,16041,2009-04-03T15:20:14Z,2018-06-25T23:15:59Z
gabrielecirulli/2048,master,9637,15859,2014-03-05T16:03:26Z,2018-06-25T08:17:49Z
getify/You-Dont-Know-JS,master,83970,15603,2013-11-16T02:37:24Z,2018-06-25T23:37:01Z
BVLC/caffe,master,24631,15078,2013-09-12T18:39:48Z,2018-06-25T23:25:50Z
robbyrussell/oh-my-zsh,master,72321,14839,2009-08-28T18:15:37Z,2018-06-25T22:42:41Z
facebook/react-native,master,65608,14826,2015-01-09T18:10:16Z,2018-06-25T23:16:06Z
django/django,master,34701,14744,2012-04-28T02:47:18Z,2018-06-25T23:16:03Z
vuejs/vue,dev,104954,14612,2013-07-29T03:24:51Z,2018-06-25T23:20:55Z
moby/moby,master,49343,14413,2013-01-18T18:10:57Z,2018-06-25T20:49:59Z
scikit-learn/scikit-learn,master,28986,14367,2010-08-17T09:43:38Z,2018-06-25T23:32:04Z
spring-projects/spring-framework,master,21884,14155,2010-12-08T04:04:45Z,2018-06-25T20:50:31Z
freeCodeCamp/freeCodeCamp,staging,292399,13987,2014-12-24T17:49:19Z,2018-06-25T23:31:46Z
airbnb/javascript,master,72494,13852,2012-11-01T23:13:50Z,2018-06-25T22:31:07Z
apache/incubator-dubbo,master,19734,13702,2012-06-19T07:56:02Z,2018-06-25T20:41:29Z
laravel/laravel,master,43906,13589,2011-06-08T03:06:08Z,2018-06-25T23:16:01Z
DefinitelyTyped/DefinitelyTyped,master,16161,13483,2012-10-05T16:39:45Z,2018-06-25T23:36:16Z
lord/slate,master,23614,13455,2013-09-13T22:15:24Z,2018-06-25T22:02:59Z
git/git,master,23021,13358,2008-07-23T14:21:26Z,2018-06-25T22:18:11Z
kubernetes/kubernetes,master,37979,13272,2014-06-06T22:56:04Z,2018-06-25T23:10:34Z
tastejs/todomvc,master,23877,12998,2011-06-03T19:56:33Z,2018-06-25T23:18:21Z
Homebrew/legacy-homebrew,master,28420,12978,2009-05-20T19:38:37Z,2018-06-25T19:37:50Z
justjavac/free-programming-books-zh_CN,master,34616,12322,2013-11-04T01:59:19Z,2018-06-25T17:33:50Z
hakimel/reveal.js,master,41139,12078,2011-06-07T18:54:22Z,2018-06-25T18:01:05Z
Trinea/android-open-project,master,26923,11907,2014-01-05T15:20:15Z,2018-06-25T14:58:19Z
ansible/ansible,devel,30940,11739,2012-03-06T14:58:02Z,2018-06-25T23:30:10Z
sindresorhus/awesome,master,87859,11598,2014-07-11T13:42:37Z,2018-06-25T22:38:42Z
keras-team/keras,master,30923,11583,2015-03-28T00:35:42Z,2018-06-25T22:27:19Z
wakaleo/game-of-life,master,1754,11578,2011-05-04T05:44:07Z,2018-06-24T11:19:11Z
antirez/redis,unstable,29772,11540,2009-03-21T22:32:25Z,2018-06-25T22:32:01Z
iluwatar/java-design-patterns,master,35123,11344,2014-08-09T16:45:18Z,2018-06-25T21:40:51Z
ionic-team/ionic,master,34533,11292,2013-08-20T23:06:02Z,2018-06-25T21:06:48Z
daneden/animate.css,master,52322,11214,2011-10-12T10:07:38Z,2018-06-25T23:32:25Z
elastic/elasticsearch,master,31979,10988,2010-02-08T13:20:56Z,2018-06-25T22:58:11Z
pallets/flask,master,36866,10963,2010-04-06T11:11:59Z,2018-06-25T21:55:58Z
facebook/create-react-app,next,51109,10775,2016-07-17T14:55:11Z,2018-06-25T23:07:25Z
heroku/node-js-sample,master,787,10675,2012-08-17T04:11:44Z,2018-06-25T12:09:57Z
nodejs/node,master,50699,10629,2014-11-26T19:57:11Z,2018-06-25T23:30:22Z
eugenp/tutorials,master,6535,10392,2013-04-29T18:26:36Z,2018-06-25T20:50:49Z
reduxjs/redux,master,42080,10256,2015-05-29T23:53:15Z,2018-06-25T23:14:31Z
vinta/awesome-python,master,51793,10020,2014-06-27T21:00:06Z,2018-06-25T23:07:18Z
udacity/fullstack-nanodegree-vm,master,215,9795,2015-01-29T21:31:32Z,2018-06-20T06:54:44Z
udacity/create-your-own-adventure,master,353,9743,2014-09-23T22:42:17Z,2018-06-21T12:20:15Z
h5bp/html5-boilerplate,master,40808,9710,2010-01-24T18:03:24Z,2018-06-25T19:55:43Z
FortAwesome/Font-Awesome,master,56759,9697,2012-02-17T14:19:43Z,2018-06-25T23:30:37Z
AFNetworking/AFNetworking,master,31218,9621,2011-05-31T21:28:44Z,2018-06-25T09:48:24Z
shadowsocks/shadowsocks-windows,master,23949,9579,2013-01-14T07:54:16Z,2018-06-25T18:56:08Z
atom/atom,master,45434,9503,2012-01-20T18:18:21Z,2018-06-25T23:36:38Z
ant-design/ant-design,master,29991,9241,2015-04-24T15:37:24Z,2018-06-25T22:12:07Z
almasaeed2010/AdminLTE,master,23742,9112,2013-12-25T02:52:40Z,2018-06-25T21:37:41Z
angular/angular,master,37662,9077,2014-09-18T16:12:01Z,2018-06-25T23:18:08Z
chartjs/Chart.js,master,37799,8853,2013-03-17T23:56:36Z,2018-06-25T22:50:57Z
racaljk/hosts,master,17203,8756,2014-07-04T01:05:27Z,2018-06-25T16:07:41Z
hasura/imad-app,master,15,8520,2017-08-01T06:39:44Z,2018-06-16T12:25:25Z
aymericdamien/TensorFlow-Examples,master,23144,8513,2015-11-11T14:21:19Z,2018-06-25T21:29:38Z
odoo/odoo,11.0,9882,8326,2014-05-13T15:38:58Z,2018-06-25T23:07:15Z
getlantern/lantern,devel,35594,8270,2011-02-17T22:12:29Z,2018-06-25T22:49:13Z
wasabeef/awesome-android-ui,master,30740,8248,2014-12-24T01:45:03Z,2018-06-25T22:03:17Z
karan/Projects,master,23757,8223,2013-07-04T13:37:27Z,2018-06-25T19:30:11Z
josephmisiti/awesome-machine-learning,master,33648,8215,2014-07-15T19:11:19Z,2018-06-25T22:36:31Z
electron/electron,master,61707,8079,2013-04-12T01:47:36Z,2018-06-25T22:56:25Z
apache/incubator-echarts,master,28464,8043,2013-04-03T03:18:59Z,2018-06-25T18:16:36Z
nodejs/node-v0.x-archive,moved,35820,7930,2009-05-27T16:29:46Z,2018-06-25T19:10:45Z
socketio/socket.io,master,42319,7888,2010-03-11T18:24:48Z,2018-06-25T23:11:14Z
googlesamples/android-architecture,master,27961,7827,2016-02-05T13:42:07Z,2018-06-25T20:26:31Z
blueimp/jQuery-File-Upload,master,28884,7775,2010-12-01T15:35:32Z,2018-06-25T22:28:33Z
kamranahmedse/developer-roadmap,master,51653,7739,2017-03-15T13:45:52Z,2018-06-25T23:29:15Z
CocoaPods/Specs,master,4557,7679,2011-09-11T13:47:10Z,2018-06-25T23:33:09Z
jekyll/jekyll,master,34625,7632,2008-10-20T06:29:03Z,2018-06-25T18:55:20Z
google/protobuf,master,27097,7621,2014-08-26T15:52:15Z,2018-06-25T23:08:51Z
wesbos/JavaScript30,master,7727,7573,2016-12-07T19:15:31Z,2018-06-25T22:34:12Z
zxing/zxing,master,19007,7518,2011-10-12T14:07:27Z,2018-06-25T20:16:49Z
